pet_type,perceived_role_of_the_pet,interaction_frequency,daily_pet_care_time_minutes,pet_friendly_environment,ccas_q1,ccas_q2,ccas_q3,ccas_q4,ccas_q5,ccas_q6,ccas_q7,ccas_q8,ccas_q9,ccas_q10,ccas_q11,ccas_q12,ccas_q13,pss_q1,pss_q,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,owner_age,owner_gender,owner_living_situation,owner_employment_status,owner_martial_status,owner_family_income,western_province,pss_score,stress_level,ccas_score,comfort_level
Dog,Family member,Daily,0-15,Yes,4,4,4,4,4,0,4,4,2,4,4,4,4,2,2,0,2,3,1,4,3,1,1,23,Female,Living with partner,Student,unmarried,"350,000 -700,000",Yes,19,Moderate,46,High Attachment
Cat,Friend,Daily,0-15,Yes,4,4,2,2,2,2,3,3,2,3,4,4,4,3,3,3,0,1,3,1,2,3,3,20,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,22,Moderate,39,High Attachment
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,2,4,3,2,3,3,3,2,4,4,4,1,2,3,3,2,3,3,21,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,29,High,37,Moderate Attachment
Dog,Friend,Daily,61-120,Yes,3,3,2,4,3,2,4,3,2,4,3,3,3,1,2,1,3,2,2,3,3,2,1,21,Male,Living with family,Student,unmarried,"Below 50,000",Yes,20,Moderate,39,High Attachment
Cat,Family member,Daily,31-60,Yes,3,3,2,3,2,2,3,3,2,3,3,2,3,3,4,3,1,2,3,1,1,3,3,20,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,24,Moderate,34,Moderate Attachment
Cat,Family member,Daily,61-120,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,0,2,3,2,2,3,3,2,2,30,Male,Living with family,UnEmployed,married,"50,000 -150,000",Yes,21,Moderate,35,Moderate Attachment
Dog,Friend,Weekly,0-15,Yes,4,3,3,2,3,0,3,2,2,2,3,4,4,1,1,1,2,3,1,2,3,2,1,22,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,17,Moderate,35,Moderate Attachment
Cat,Family member,Daily,61-120,Yes,4,4,4,4,4,0,4,4,0,3,4,4,4,0,1,1,2,2,1,2,1,3,3,22,Male,Living Alone,Employed(full),unmarried,"150,000 -350,000",Yes,16,Moderate,43,High Attachment
Cat,Family member,Daily,16-30,Yes,1,1,3,1,1,3,1,1,1,3,1,1,1,0,0,2,0,2,0,2,2,0,0,17,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,8,Low,19,Low Attachment
Cat,Family member,Daily,>180,Yes,3,3,2,2,2,1,1,2,2,3,3,2,2,1,2,1,3,2,1,3,2,1,2,16,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,28,Moderate Attachment
Cat,Family member,Daily,31-60,Yes,4,4,4,4,4,0,4,4,0,4,4,4,4,1,1,1,3,3,1,3,3,1,1,32,Male,Living with family,Employed(full),married,"Above 700,000",Yes,18,Moderate,44,High Attachment
Cat,Family member,Daily,31-60,Yes,3,3,3,3,2,3,3,2,3,3,3,3,3,1,1,1,3,2,1,3,2,0,0,24,Male,Living with family,UnEmployed,unmarried,"150,000 -350,000",Yes,14,Moderate,37,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,4,4,4,3,2,2,3,3,2,4,4,4,4,3,3,3,2,3,2,2,2,1,2,27,Male,Living with family,Employed(full),married,"50,000 -150,000",Yes,23,Moderate,43,High Attachment
Cat,Family member,Daily,121-180,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,2,2,3,3,2,2,2,1,0,22,Female,Living with family,Employed(full),unmarried,"Above 700,000",Yes,19,Moderate,35,Moderate Attachment
Cat,Family member,Daily,31-60,Yes,2,3,3,2,3,2,3,3,0,3,4,4,3,3,4,3,1,0,4,1,1,2,3,22,Male,Living with family,Student,unmarried,"Below 50,000",Yes,22,Moderate,35,Moderate Attachment
Dog,Toy,Daily,31-60,No,4,4,2,2,3,3,2,3,3,3,3,2,1,1,1,0,2,2,1,3,1,0,1,22,Male,Living with family,Student,unmarried,"Below 50,000",Yes,12,Low,35,Moderate Attachment
Cat,Friend,Daily,0-15,No,3,3,3,2,2,2,2,3,1,3,3,2,2,2,1,2,3,2,1,2,2,1,1,45,Male,Living with family,Employed(full),unmarried,"Below 50,000",Yes,17,Moderate,31,Moderate Attachment
Cat,Family member,Daily,>180,Yes,3,4,4,4,4,0,4,4,0,4,4,4,4,1,1,0,3,3,0,2,2,1,1,27,Female,Living with partner,UnEmployed,married,"50,000 -150,000",Yes,14,Moderate,43,High Attachment
Cat,Family member,Daily,31-60,Yes,3,3,3,3,2,1,3,3,1,3,3,3,3,0,0,0,2,4,0,2,2,0,0,21,Female,Living with family,"Student, Employed(part)",unmarried,"Below 50,000",Yes,10,Low,34,Moderate Attachment
Squirrel ,Family member,Daily,31-60,Yes,3,4,4,3,4,0,4,4,1,4,4,4,3,3,3,4,2,2,3,2,2,4,3,20,Female,Living with family,Student,unmarried,"Below 50,000",Yes,28,High,42,High Attachment
Bird,Family member,Daily,31-60,Yes,3,3,1,3,3,2,1,3,2,2,2,1,2,2,2,1,2,3,1,2,4,1,1,20,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,19,Moderate,28,Moderate Attachment
Cat,Family member,Weekly,16-30,No,2,3,2,2,3,0,2,3,2,3,3,3,3,3,3,3,1,3,3,3,2,3,3,20,Female,Living with family,UnEmployed,unmarried,"Below 50,000",Yes,27,High,31,Moderate Attachment
Cat,Family member,Daily,31-60,Yes,4,4,3,3,4,0,4,4,0,4,4,4,4,2,2,2,2,2,0,2,3,2,1,22,Female,Living with family,"Student, Employed(part)",unmarried,"50,000 -150,000",Yes,18,Moderate,42,High Attachment
Cat,Family member,Daily,16-30,Yes,1,1,1,1,1,3,1,1,3,1,1,1,1,3,3,3,3,1,3,1,1,3,3,22,Female,Living with family,UnEmployed,married,"Below 50,000",Yes,24,Moderate,17,Low Attachment
Fish,Friend,Daily,31-60,Yes,1,1,1,1,1,3,1,1,3,1,1,1,1,2,0,1,4,3,1,4,2,0,2,17,Male,Living with family,"Student, Employed(full)",unmarried,"50,000 -150,000",Yes,19,Moderate,17,Low Attachment
Cat,Family member,Daily,0-15,Yes,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,23,Male,Living with family,Student,unmarried,"Below 50,000",Yes,19,Moderate,35,Moderate Attachment
Cat,Friend,Daily,61-120,Yes,3,3,3,2,3,1,3,3,1,4,4,3,3,3,4,4,0,1,2,4,2,3,2,17,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,25,Moderate,36,Moderate Attachment
Hens,Working partner,Daily,31-60,Yes,4,1,3,2,3,2,2,2,1,2,3,3,3,0,1,1,4,2,1,3,3,2,1,18,Male,Living with family,Student,unmarried,"Below 50,000",Yes,18,Moderate,31,Moderate Attachment
Cat,Friend,Daily,0-15,Yes,3,3,3,3,4,1,3,3,2,3,4,3,3,0,0,2,4,2,2,4,3,0,0,19,Female,Living with family,Student,unmarried,"Below 50,000",Yes,17,Moderate,38,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,3,3,4,4,3,1,4,4,1,3,4,4,4,0,1,2,1,4,1,2,1,2,2,22,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,16,Moderate,42,High Attachment
Cat,Family member,Weekly,0-15,No,3,3,3,3,3,1,3,3,1,3,3,3,3,2,0,2,0,1,2,1,1,1,1,19,Male,Living with family,Student,unmarried,"Below 50,000",Yes,11,Low,35,Moderate Attachment
Cat,Family member,Weekly,0-15,Yes,4,3,4,2,4,2,4,4,2,4,4,3,2,2,3,3,1,2,2,3,0,3,2,17,Male,Living with family,Student,married,"50,000 -150,000",Yes,21,Moderate,42,High Attachment
Cat,Family member,Daily,16-30,Yes,3,3,3,4,4,0,4,4,1,4,4,4,4,2,0,0,0,3,0,2,4,2,0,20,Female,Living with family,UnEmployed,unmarried,"350,000 -700,000",Yes,13,Low,42,High Attachment
Cat,Family member,Daily,61-120,Yes,4,4,3,4,4,0,4,4,0,4,4,4,4,4,4,4,0,0,4,1,0,3,4,20,Male,Living with family,Student,unmarried,"Below 50,000",Yes,24,Moderate,43,High Attachment
Cat,Family member,Daily,16-30,Yes,3,3,3,2,3,2,4,3,1,3,3,3,3,3,3,3,2,3,2,2,2,1,2,19,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes,23,Moderate,36,Moderate Attachment
Bird,Friend,Daily,16-30,Yes,4,4,4,3,3,0,4,4,1,3,4,4,4,2,2,1,2,2,2,3,3,1,1,42,Female,Living with family,UnEmployed,married,"50,000 -150,000",Yes,19,Moderate,42,High Attachment
Cat,Friend,Daily,31-60,Yes,3,4,3,2,3,2,4,3,2,2,3,2,3,2,4,3,2,2,2,1,2,3,3,18,Male,Living with family,Student,unmarried,"Below 50,000",Yes,24,Moderate,36,Moderate Attachment
Cat,Family member,Daily,121-180,Yes,3,3,3,4,3,1,4,4,1,3,4,4,3,1,0,1,3,2,2,3,2,2,2,19,Female,Living with family,Student,unmarried,"Below 50,000",Yes,18,Moderate,40,High Attachment
Bird,Friend,Daily,0-15,Yes,2,2,3,2,2,2,2,3,2,3,4,3,3,0,1,2,3,2,2,4,4,1,0,21,Male,Living with family,Student,unmarried,"Below 50,000",Yes,19,Moderate,33,Moderate Attachment
Fish,Friend,Daily,0-15,Yes,2,4,3,3,4,1,3,4,1,2,4,4,3,0,1,0,2,1,0,4,1,0,0,20,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,9,Low,38,Moderate Attachment
Cat,Family member,Daily,31-60,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,18,Male,Living with family,Student,unmarried,"Below 50,000",Yes,20,Moderate,35,Moderate Attachment
Cat,Friend,Daily,0-15,No,2,3,3,2,2,2,3,4,2,3,4,3,2,2,3,3,2,2,3,2,4,3,2,20,Prefer not to say,Living with family,Student,unmarried,"Below 50,000",Yes,26,Moderate,35,Moderate Attachment
Cat,Friend,Monthly,0-15,No,3,4,4,2,4,0,1,1,3,3,1,1,1,4,4,4,3,3,0,3,4,1,0,20,Male,Living with family,Student,unmarried,"Below 50,000",Yes,26,Moderate,28,Moderate Attachment
Bird,Family member,Weekly,31-60,Yes,3,4,3,3,4,1,4,4,1,3,4,4,4,3,4,3,0,1,2,1,0,2,3,25,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,19,Moderate,42,High Attachment
Fish,Family member,Daily,16-30,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,0,1,1,4,4,0,4,4,0,0,17,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,35,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,2,2,3,3,3,1,3,3,1,3,3,3,3,2,3,2,1,0,4,2,3,2,2,20,Prefer not to say,Living with family,Student,unmarried,"50,000 -150,000",Yes,21,Moderate,33,Moderate Attachment
Cat,Family member,Daily,31-60,Yes,4,3,3,3,4,0,4,3,0,4,3,4,4,4,4,4,0,1,3,0,1,4,4,18,Female,Living with family,Student,unmarried,"Below 50,000",Yes,25,Moderate,39,High Attachment
Cat,Friend,Daily,0-15,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,4,4,4,3,3,4,3,3,3,1,25,Female,Living with family,Student,unmarried,"Below 50,000",Yes,32,High,35,Moderate Attachment
Cat,Family member,Daily,>180,Yes,3,3,4,4,4,0,4,4,0,4,4,4,4,4,3,3,2,2,2,2,2,2,2,18,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,24,Moderate,42,High Attachment
Cat,Family member,Daily,121-180,No,4,3,3,3,3,1,3,3,1,3,3,3,3,0,2,2,1,2,0,1,2,0,2,20,Female,Living with family,Student,unmarried,"Below 50,000",Yes,12,Low,36,Moderate Attachment
Squirrel ,Family member,Daily,31-60,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,3,3,1,1,3,1,1,3,3,20,Female,Living with family,Student,unmarried,"Below 50,000",Yes,21,Moderate,35,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,2,4,3,3,4,0,4,4,0,3,4,4,3,0,1,0,2,4,2,4,2,3,3,25,Male,Living with family,Student,married,"Below 50,000",Yes,21,Moderate,38,Moderate Attachment
Dog,Friend,Daily,0-15,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,3,2,2,2,3,2,1,2,3,21,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,22,Moderate,35,Moderate Attachment
Bird,Family member,Daily,31-60,Yes,3,3,3,3,3,2,3,3,1,3,4,4,3,2,2,2,1,2,2,1,1,2,2,45,Male,Living with family,Employed(full),married,"50,000 -150,000",Yes,17,Moderate,38,Moderate Attachment
Cat,Family member,Daily,31-60,Yes,3,3,3,3,3,1,4,4,2,3,3,3,3,0,2,2,1,1,2,2,1,2,2,21,Male,Living with family,Student,unmarried,"Below 50,000",Yes,15,Moderate,38,Moderate Attachment
Fish,Friend,Daily,31-60,Yes,2,2,2,2,3,2,2,2,1,2,2,3,3,1,1,1,3,3,1,3,3,1,2,21,Male,Living with family,"Student, Employed(part)",unmarried,"50,000 -150,000",Yes,19,Moderate,28,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,1,2,2,2,2,2,2,2,1,1,1,2,2,0,0,0,4,4,0,4,4,0,0,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,16,Moderate,22,Low Attachment
Bird,Toy,Weekly,16-30,Yes,1,2,1,3,2,3,3,1,2,4,1,2,4,0,1,1,2,1,1,4,3,3,1,1,Male,Living Alone,UnEmployed,unmarried,"Below 50,000",Yes,17,Moderate,29,Moderate Attachment
Squirrel ,Friend,Daily,61-120,No,4,4,4,4,4,1,4,4,1,4,4,4,4,2,1,1,4,4,1,3,3,2,1,18,Female,Living with family,Student,unmarried,"Below 50,000",Yes,22,Moderate,46,High Attachment
Cat,Family member,Daily,121-180,Yes,3,3,3,3,3,1,3,2,2,3,3,3,3,1,1,1,3,3,2,3,2,2,2,20,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,20,Moderate,35,Moderate Attachment
Cat,Family member,Daily,0-15,Yes,1,1,1,1,1,3,1,1,3,1,1,2,1,2,1,2,2,2,1,2,2,2,1,32,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,17,Moderate,18,Low Attachment
Bird,Family member,Daily,31-60,Yes,4,3,4,4,3,1,4,4,2,3,4,4,4,0,2,1,3,4,0,4,3,1,1,30,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,19,Moderate,44,High Attachment
Cat,Family member,Daily,0-15,Yes,1,3,4,3,3,0,4,4,1,4,4,4,4,0,0,0,4,3,1,3,2,2,2,27,Prefer not to say,Living with family,Employed(part),married,"150,000 -350,000",Yes,17,Moderate,39,High Attachment
Dog,Friend,Daily,16-30,Yes,3,4,4,4,4,0,4,4,1,4,4,4,4,0,0,4,0,0,4,4,0,4,4,3,Male,Living with roommate,Employed(full),married,"Below 50,000",Yes,20,Moderate,44,High Attachment
Cat,Family member,Daily,16-30,No,3,3,3,3,4,0,4,3,1,3,4,4,3,2,1,1,1,2,1,3,3,1,1,32,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,16,Moderate,38,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,3,3,2,2,2,1,3,3,1,3,3,3,3,1,2,1,0,2,2,3,2,2,2,41,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,17,Moderate,32,Moderate Attachment
