pet_type,perceived_role_of_the_pet,interaction_frequency,daily_pet_care_time_minutes,pet_friendly_environment,ccas_q1,ccas_q2,ccas_q3,ccas_q4,ccas_q5,ccas_q6,ccas_q7,ccas_q8,ccas_q9,ccas_q10,ccas_q11,ccas_q12,ccas_q13,pss_q1,pss_q,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,owner_age,owner_gender,owner_living_situation,owner_employment_status,owner_martial_status,owner_family_income,western_province,pss_score,stress_level,ccas_score,comfort_level
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,1,3,3,0,3,3,3,3,3,2,3,2,1,4,2,3,1,0,30,Female,Living with family,UnEmployed,married,"50,000 -150,000",Yes,21,Moderate,34,Moderate Attachment
Bird,Family member,Daily,31-60,Yes,3,3,4,4,4,0,4,4,0,4,4,4,3,1,1,0,4,4,1,3,3,1,1,28,Male,Living with family,Employed(full),married,"50,000 -150,000",Yes,19,Moderate,41,High Attachment
Cat,Family member,Weekly,16-30,Yes,3,2,3,3,3,1,3,3,2,3,3,3,2,0,1,1,4,3,1,3,3,1,1,32,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,18,Moderate,34,Moderate Attachment
Cat,Family member,Daily,16-30,No,3,3,3,3,2,2,3,3,2,3,3,3,2,3,1,3,1,1,2,1,2,0,0,30,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,14,Moderate,35,Moderate Attachment
Cat,Family member,Daily,61-120,Yes,3,3,4,3,3,2,4,4,1,3,4,4,3,2,0,2,0,0,1,0,1,3,3,29,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,12,Low,41,High Attachment
Dog,Friend,Daily,>180,Yes,3,3,4,3,3,1,3,3,1,3,3,3,3,1,1,1,3,3,1,3,3,1,1,25,Female,Living with family,Employed(part),unmarried,"Below 50,000",Yes,18,Moderate,36,Moderate Attachment
Bird,Friend,Daily,31-60,Yes,3,3,2,2,3,1,3,3,1,3,2,2,2,1,1,1,3,3,1,3,3,1,1,15,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,30,Moderate Attachment
Bird,Friend,Daily,16-30,Yes,3,3,3,4,3,1,3,4,0,4,4,4,4,3,3,3,1,1,2,2,1,2,3,35,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,21,Moderate,40,High Attachment
Rabbit,Friend,Daily,0-15,Yes,3,3,2,3,3,2,3,2,1,3,3,3,2,1,1,0,3,2,1,4,2,1,0,30,Male,Living with family,Employed(full),married,"50,000 -150,000",Yes,15,Moderate,33,Moderate Attachment
Cat,Family member,Daily,61-120,Yes,4,4,4,4,4,0,4,4,2,3,4,4,4,3,4,3,0,2,3,2,2,2,2,23,Female,Living with roommate,Student,unmarried,"150,000 -350,000",Yes,23,Moderate,45,High Attachment
Cat,Family member,Daily,16-30,No,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,4,0,2,2,1,1,3,4,29,Female,Living with family,Employed(full),married,"150,000 -350,000",Yes,23,Moderate,35,Moderate Attachment
Goat,Friend,Daily,61-120,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,0,0,0,4,4,0,4,4,0,0,24,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,16,Moderate,35,Moderate Attachment
Bird,Family member,Daily,61-120,Yes,1,3,1,2,2,2,1,1,2,1,1,1,2,2,2,1,3,2,1,3,2,1,2,25,Male,Living with family,Employed(full),married,"150,000 -350,000",Yes,19,Moderate,20,Low Attachment
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,1,3,3,1,2,3,3,3,1,1,1,3,4,1,4,3,1,1,39,Female,Living with family,Employed(part),married,"50,000 -150,000",Yes,20,Moderate,34,Moderate Attachment
Bird,Friend,Daily,16-30,Yes,4,4,3,3,4,1,4,4,1,3,3,4,3,2,1,1,3,2,1,2,3,2,2,35,Male,Living with family,Employed(part),married,"Below 50,000",Yes,19,Moderate,41,High Attachment
Dog,Family member,Daily,0-15,Yes,3,3,3,3,3,1,3,3,2,3,3,3,3,4,4,4,0,0,4,0,0,4,4,42,Male,Living with family,Employed(full),married,"50,000 -150,000",Yes,24,Moderate,36,Moderate Attachment
Cat,Family member,Daily,16-30,Yes,4,4,4,4,3,1,4,4,1,3,4,4,3,4,3,4,1,2,4,2,0,4,4,17,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,28,High,43,High Attachment
Cat,Family member,Weekly,61-120,Yes,3,4,4,3,3,1,4,4,1,3,4,4,4,2,2,0,3,2,3,2,3,0,1,19,Female,Living with family,Student,unmarried,"Below 50,000",Yes,18,Moderate,42,High Attachment
Cow,Friend,Daily,31-60,No,4,3,3,4,2,1,3,4,0,3,3,3,3,3,3,4,3,1,3,1,1,3,2,20,Prefer not to say,Living with family,Employed(part),unmarried,"50,000 -150,000",Yes,24,Moderate,36,Moderate Attachment
Dog,Friend,Weekly,31-60,Yes,3,3,3,4,4,0,4,3,0,4,3,3,4,3,1,2,3,1,4,1,0,2,4,18,Male,Living Alone,Student,unmarried,"50,000 -150,000",Yes,21,Moderate,38,Moderate Attachment
Cat,Family member,Daily,>180,Yes,3,3,3,4,4,0,3,3,1,4,4,4,4,4,0,0,0,0,3,2,0,4,3,20,Male,Living Alone,Student,unmarried,"Above 700,000",Yes,16,Moderate,40,High Attachment
Dog,Family member,Daily,61-120,No,4,3,3,4,3,0,4,4,1,3,3,3,3,3,1,1,3,2,0,3,3,1,1,21,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,38,Moderate Attachment
Cat,Family member,Daily,>180,Yes,3,4,3,4,3,0,3,4,1,4,3,4,3,0,1,2,4,3,2,4,3,2,0,23,Male,Living with roommate,Student,unmarried,"150,000 -350,000",Yes,21,Moderate,39,High Attachment
Dog,Friend,Weekly,16-30,Yes,3,4,3,4,3,0,3,4,1,4,3,4,3,1,0,2,3,2,1,3,3,1,1,23,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,17,Moderate,39,High Attachment
Cow,Working partner,Daily,>180,Yes,4,4,3,3,4,0,3,3,0,4,3,3,4,0,0,0,4,4,0,4,4,0,0,22,Prefer not to say,Living with partner,Employed(part),married,"350,000 -700,000",Yes,16,Moderate,38,Moderate Attachment
Dog,Friend,Daily,61-120,Yes,4,3,4,3,3,1,4,4,0,3,4,3,4,1,2,1,2,3,1,3,3,2,1,24,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,19,Moderate,40,High Attachment
Cat,Family member,Daily,121-180,No,3,4,4,3,4,0,3,4,1,4,4,3,4,1,2,2,3,2,1,2,2,1,2,19,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,18,Moderate,41,High Attachment
Cat,Friend,Weekly,61-120,Yes,3,4,4,3,4,0,4,4,1,3,3,4,4,1,1,0,4,4,0,3,4,1,1,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,19,Moderate,41,High Attachment
Dog,Friend,Weekly,16-30,Yes,4,3,4,3,3,0,3,4,1,4,3,4,3,1,2,1,2,2,2,3,2,1,2,20,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,18,Moderate,39,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,0,4,3,0,4,4,3,3,0,0,1,3,4,0,4,4,1,0,25,Female,Living with partner,Employed(part),married,"150,000 -350,000",Yes,17,Moderate,39,High Attachment
Dog,Family member,Weekly,31-60,No,4,3,4,3,3,0,3,4,0,3,4,3,4,1,1,2,4,3,2,3,4,1,1,21,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,22,Moderate,38,Moderate Attachment
Dog,Friend,Daily,61-120,Yes,3,4,3,3,4,0,3,4,1,3,3,4,4,2,1,0,1,4,1,2,3,1,4,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes,19,Moderate,39,High Attachment
Dog,Family member,Monthly,61-120,Yes,3,4,4,3,4,1,4,3,0,3,4,3,4,1,1,2,4,2,0,3,3,1,0,24,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,17,Moderate,40,High Attachment
Dog,Friend,Weekly,61-120,No,3,4,3,3,3,1,4,3,2,4,3,4,4,1,2,1,3,2,1,2,3,1,2,17,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,41,High Attachment
Dog,Family member,Daily,121-180,Yes,4,4,3,4,4,1,3,3,1,3,4,4,4,0,2,1,4,1,0,3,3,1,1,18,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes,16,Moderate,42,High Attachment
Dog,Friend,Daily,61-120,Yes,3,3,3,4,3,1,4,3,0,3,3,3,3,1,2,1,2,3,0,2,3,2,1,27,Female,Living with partner,Employed(full),married,"350,000 -700,000",Yes,17,Moderate,36,Moderate Attachment
Dog,Family member,Daily,121-180,Yes,2,3,4,4,3,1,4,3,0,3,3,4,4,0,0,0,4,4,0,4,4,0,0,24,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,16,Moderate,38,Moderate Attachment
Dog,Friend,Weekly,16-30,Yes,3,4,3,4,3,0,4,3,0,3,4,3,4,1,2,2,2,3,2,4,3,1,2,25,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,22,Moderate,38,Moderate Attachment
Dog,Friend,Weekly,61-120,No,3,3,3,3,2,1,3,3,1,3,4,3,3,1,2,1,2,3,1,2,3,2,1,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,35,Moderate Attachment
Dog,Family member,Daily,31-60,Yes,3,4,3,4,3,0,3,4,1,4,3,4,3,3,2,3,4,3,2,3,3,1,2,22,Male,Living with roommate,Student,unmarried,"150,000 -350,000",Yes,26,Moderate,39,High Attachment
Dog,Family member,Weekly,121-180,Yes,3,3,3,3,4,1,4,3,0,3,4,3,4,1,2,2,2,3,2,3,2,1,2,23,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,20,Moderate,38,Moderate Attachment
Dog,Friend,Daily,61-120,Yes,3,3,3,4,4,1,4,3,0,3,4,3,4,1,2,2,2,3,2,3,2,1,2,25,Female,Living with partner,Student,married,"150,000 -350,000",Yes,20,Moderate,39,High Attachment
Dog,Family member,Monthly,0-15,No,3,2,4,2,3,2,2,3,2,3,2,3,3,1,1,2,3,2,1,2,3,2,1,25,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,34,Moderate Attachment
Dog,Friend,Daily,31-60,Yes,3,4,3,4,3,0,3,3,0,3,4,3,3,1,2,1,2,3,1,2,3,1,2,26,Male,Living with roommate,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,36,Moderate Attachment
Dog,Family member,Daily,121-180,Yes,4,4,4,3,3,1,3,4,1,3,3,4,4,0,1,2,2,3,0,4,3,2,1,22,Female,Living Alone,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,0,3,4,1,4,3,4,3,0,0,0,4,4,1,3,3,1,1,18,Female,Living with family,Student,married,"350,000 -700,000",Yes,17,Moderate,39,High Attachment
Dog,Family member,Daily,121-180,Yes,3,3,4,4,3,0,3,4,1,4,3,4,3,0,0,1,3,4,0,3,3,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"150,000 -350,000",Yes,14,Moderate,39,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,3,3,0,4,4,0,4,4,4,4,1,0,1,4,3,0,3,4,1,0,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes,17,Moderate,42,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,3,1,4,4,0,3,3,3,4,1,1,1,4,4,0,4,4,0,1,24,Female,Living with family,"Student, Employed(part)",unmarried,"150,000 -350,000",Yes,20,Moderate,39,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,0,3,4,0,4,4,4,4,0,1,0,3,4,1,4,3,0,1,23,Male,Living Alone,Student,unmarried,"Above 700,000",Yes,17,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,1,4,3,0,3,4,4,4,0,1,0,3,2,0,4,4,2,0,21,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes,16,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,0,3,3,1,3,3,3,3,0,0,1,3,4,0,3,3,0,0,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,14,Moderate,39,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,0,3,3,0,4,3,3,4,0,1,2,4,3,0,3,4,0,1,20,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,38,Moderate Attachment
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,0,3,4,1,4,3,3,3,0,0,1,3,4,0,3,4,0,0,21,Male,Living Alone,Student,unmarried,"Above 700,000",Yes,15,Moderate,38,Moderate Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,0,4,4,0,4,4,4,4,0,1,0,3,4,1,4,3,0,0,22,Female,Living Alone,Student,unmarried,"Above 700,000",Yes,16,Moderate,44,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,4,3,1,3,3,1,4,4,4,4,0,0,0,3,4,0,3,4,1,0,23,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,15,Moderate,43,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,3,4,1,4,4,1,4,3,4,3,0,1,1,4,3,0,4,4,1,0,18,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,43,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,0,3,4,1,4,4,4,3,0,0,1,3,4,0,3,3,0,0,24,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,14,Moderate,41,High Attachment
Cat,Family member,Daily,>180,Yes,3,3,3,4,4,0,3,3,1,4,4,4,4,0,1,1,3,4,0,4,4,1,0,19,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,40,High Attachment
Cat,Family member,Daily,>180,Yes,4,4,4,3,3,1,4,4,0,3,3,4,4,0,1,1,4,4,1,3,4,0,0,22,Male,Living Alone,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,0,3,4,1,4,3,4,3,0,0,0,3,4,1,4,3,0,0,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,15,Moderate,40,High Attachment
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,1,4,3,0,3,4,3,4,0,1,0,3,4,1,4,4,0,1,21,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,40,High Attachment
Cat,Friend,Weekly,31-60,No,4,4,4,4,4,0,4,4,0,4,4,4,4,0,0,0,4,4,0,4,4,0,0,20,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,16,Moderate,44,High Attachment
Cat,Family member,Daily,>180,Yes,4,4,4,4,4,0,4,4,0,4,4,4,4,0,0,0,4,4,0,4,4,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"350,000 -700,000",Yes,16,Moderate,44,High Attachment
Cat,Family member,Daily,121-180,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,20,Moderate,35,Moderate Attachment
Fish,Friend,Daily,0-15,Yes,3,4,4,3,3,1,3,3,1,2,4,4,3,3,2,2,1,2,2,2,2,3,2,20,Female,Living with family,UnEmployed,unmarried,"Below 50,000",Yes,21,Moderate,38,Moderate Attachment
Bird,Family member,Daily,16-30,No,2,2,2,2,2,1,2,1,3,3,2,2,1,2,3,1,3,2,2,2,4,2,1,48,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,22,Moderate,25,Low Attachment
Dog,Family member,Daily,16-30,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,1,1,2,1,1,2,4,2,1,1,20,Female,Living with family,UnEmployed,unmarried,"50,000 -150,000",Yes,16,Moderate,35,Moderate Attachment
Bird,Family member,Daily,31-60,Yes,4,4,4,4,4,0,3,4,1,4,4,4,4,3,2,3,2,2,2,0,2,2,2,3,Male,Living with family,Student,unmarried,"Below 50,000",Yes,20,Moderate,44,High Attachment
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,1,4,4,1,4,3,4,4,0,0,0,2,3,1,4,1,2,2,25,Female,Living with family,UnEmployed,married,"Below 50,000",Yes,15,Moderate,40,High Attachment
